GEOID,NAME,intersects_study_bbox,n_stops_in_bbox,n_stops_mts,n_stops_nctd,dist_nearest_stop_m,dist_nearest_stop_km,few_stops_within_x_km,zero_stops_within_x_km,disadvantage_z,poverty_rate,n_osm_walk_edges,n_osm_hospitals,n_osm_groceries,n_osm_schools,walk_edge_density_km_per_km2
06073021002,210.02,False,0,0,0,64533.439539964245,64.53343953996425,True,True,-0.2037679866345404,0.0357792601576713,0,0,0,0,0.0
06073021001,210.01,False,0,0,0,62168.67532837603,62.16867532837603,True,True,0.4022853718046348,0.0603632478632478,0,0,0,0,0.0
06073021102,211.02,False,0,0,0,56522.86850131828,56.52286850131828,True,True,1.5101201267946702,0.3233310856372218,0,0,0,0,0.0
06073019001,190.01,False,0,0,0,37554.418542470725,37.55441854247073,True,True,-0.1610634113362576,0.0789595197783592,0,0,0,0,0.0
06073021101,211.01,False,0,0,0,37343.28756074646,37.34328756074646,True,True,0.7004216850391956,0.1859415305245056,0,0,0,0,0.0
06073018903,189.03,False,0,0,0,31932.15151825044,31.93215151825044,True,True,1.2129804405182938,0.310534456092112,0,0,0,0,0.0
06073018700,187,False,0,0,0,31216.08983373211,31.21608983373211,True,True,0.0442873137608716,0.0499246560114621,0,0,0,0,0.0
06073019002,190.02,False,0,0,0,30987.287468182592,30.987287468182593,True,True,-0.2589683560413207,0.0759559979046621,0,0,0,0,0.0
06073020902,209.02,False,0,0,0,30889.82651218419,30.88982651218419,True,True,-0.3880325372229669,0.0333041191936897,0,0,0,0,0.0
06073018904,189.04,False,0,0,0,30174.90759933928,30.17490759933928,True,True,0.6681731218514271,0.1674062739097169,0,0,0,0,0.0
06073018905,189.05,False,0,0,0,29161.18541698993,29.16118541698993,True,True,0.4086286310084633,0.0989335520918785,0,0,0,0,0.0
06073020904,209.04,False,0,0,0,28874.63526059185,28.87463526059185,True,True,-0.0858236854031717,0.0604996096799375,0,0,0,0,0.0
06073020903,209.03,False,0,0,0,28740.29380674989,28.74029380674989,True,True,0.6568956133634986,0.1686236138290932,0,0,0,0,0.0
06073018906,189.06,False,0,0,0,27991.349417033303,27.9913494170333,True,True,0.330553659620997,0.1021530724501021,0,0,0,0,0.0
06073021202,212.02,False,0,0,0,27159.589418603457,27.159589418603456,True,True,0.2783895172139871,0.0630657815328907,0,0,0,0,0.0
06073019108,191.08,False,0,0,0,26635.092367520057,26.63509236752006,True,True,0.0844399915551222,0.1122013651877133,0,0,0,0,0.0
06073018805,188.05,False,0,0,0,26421.70170106041,26.42170170106041,True,True,-0.4177452334190393,0.0457631380437515,0,0,0,0,0.0
06073018801,188.01,False,0,0,0,26267.726936542294,26.267726936542296,True,True,0.0032598846848215,0.1010422698320787,0,0,0,0,0.0
06073019109,191.09,False,0,0,0,23672.001754168872,23.67200175416887,True,True,-0.1112274289256591,0.0972093023255813,0,0,0,0,0.0
06073018804,188.04,False,0,0,0,23632.37613742951,23.63237613742951,True,True,-0.2971572875733976,0.0125811688311688,0,0,0,0,0.0
06073018803,188.03,False,0,0,0,19701.14734254907,19.70114734254907,True,True,0.2747439958217415,0.1528635299127102,0,0,0,0,0.0
06073018619,186.19,False,0,0,0,19680.705929725347,19.68070592972535,True,True,-0.9883242621892796,0.0137623962760574,0,0,0,0,0.0
06073019110,191.10,False,0,0,0,19191.99877504817,19.19199877504817,True,True,-0.3774495662246897,0.0661707126076742,0,0,0,0,0.0
06073019103,191.03,False,0,0,0,17986.65042962484,17.986650429624838,True,True,-0.1647424495857726,0.0920897284533648,0,0,0,0,0.0
06073020811,208.11,False,0,0,0,17974.298379874253,17.974298379874252,True,True,-0.5861955438654736,0.0173576002696326,0,0,0,0,0.0
06073018617,186.17,False,0,0,0,17518.952329704447,17.518952329704447,True,True,-0.4122079268151675,0.0674662668665667,0,0,0,0,0.0
06073018608,186.08,False,0,0,0,17039.9265131484,17.039926513148398,True,True,-0.5129418354809664,0.0240456868049293,0,0,0,0,0.0
06073018620,186.20,False,0,0,0,16957.344741534947,16.957344741534946,True,True,-0.0490766808908429,0.0591885441527446,0,0,0,0,0.0
06073021206,212.06,False,0,0,0,16914.12481777496,16.914124817774958,True,True,-0.4876762488189958,0.0440738534842167,0,0,0,0,0.0
06073021302,213.02,True,0,0,0,16593.526645125963,16.593526645125962,True,True,-0.4015054395089993,0.0631031922791388,0,0,0,0,0.0
06073018609,186.09,False,0,0,0,16358.707330089055,16.358707330089054,True,True,0.5817868628234631,0.1413555067461562,0,0,0,0,0.0
06073018612,186.12,False,0,0,0,16357.042782111572,16.35704278211157,True,True,-0.336870439328275,0.1022389538339607,0,0,0,0,0.0
06073018618,186.18,False,0,0,0,16280.01118797963,16.28001118797963,True,True,0.5009206565230607,0.1373681567051732,0,0,0,0,0.0
06073021204,212.04,False,0,0,0,15839.086194271358,15.839086194271358,True,True,-0.3724339174938076,0.0851708466588116,0,0,0,0,0.0
06073018613,186.13,False,0,0,0,15634.649765558072,15.634649765558072,True,True,-0.0465009106201064,0.0494606682451986,0,0,0,0,0.0
06073018601,186.01,False,0,0,0,15464.087468779057,15.464087468779056,True,True,-0.4272341063379254,0.0329173838209982,0,0,0,0,0.0
06073020810,208.10,False,0,0,0,15194.948500329876,15.194948500329875,True,True,-0.6801822568533825,0.0170974155069582,0,0,0,0,0.0
06073018521,185.21,False,0,0,0,15104.591131918662,15.104591131918662,True,True,-0.0697602536303659,0.0525152017689331,0,0,0,0,0.0
06073018622,186.22,False,0,0,0,15045.815290373364,15.045815290373364,True,True,1.015854084223262,0.2038738019169329,0,0,0,0,0.0
06073018301,183.01,False,0,0,0,14873.49016981722,14.87349016981722,True,True,0.1843407028901118,0.0371203599550056,0,0,0,0,0.0
06073018520,185.20,False,0,0,0,14861.954914477028,14.861954914477028,True,True,-0.1169964979854437,0.0472747497219132,0,0,0,0,0.0
06073019303,193.03,False,0,0,0,14823.777588821842,14.823777588821843,True,True,-0.4176002406779028,0.0324286217835741,0,0,0,0,0.0
06073018615,186.15,False,0,0,0,14754.974406821466,14.754974406821466,True,True,0.1305478156868749,0.0821059229081792,0,0,0,0,0.0
06073021205,212.05,False,0,0,0,14592.51520872996,14.59251520872996,True,True,0.3946626193551303,0.1459263392857142,0,0,0,0,0.0
06073018400,184,False,0,0,0,14460.126672241751,14.460126672241751,True,True,1.532562634656695,0.1764369459536745,0,0,0,0,0.0
06073018621,186.21,False,0,0,0,14459.233051487809,14.459233051487809,True,True,-0.1911665003430574,0.0560889338049519,0,0,0,0,0.0
06073018616,186.16,False,0,0,0,14454.687470714252,14.454687470714253,True,True,0.8850248588315551,0.1116111611161116,0,0,0,0,0.0
06073018525,185.25,False,0,0,0,14278.749109249711,14.278749109249711,True,True,-0.7566294817611577,0.0347239570322258,0,0,0,0,0.0
06073019203,192.03,False,0,0,0,14262.73735788703,14.26273735788703,True,True,-0.4889919818401322,0.0551378446115288,0,0,0,0,0.0
06073019209,192.09,False,0,0,0,14088.6667388831,14.088666738883099,True,True,-0.0429623816619142,0.1359089341152121,0,0,0,0,0.0
06073018524,185.24,False,0,0,0,13967.32509196916,13.96732509196916,True,True,0.5820532628250312,0.1923497267759563,0,0,0,0,0.0
06073019107,191.07,False,0,0,0,13797.080248504572,13.797080248504571,True,True,-0.4508803612042829,0.0728959575878065,0,0,0,0,0.0
06073018302,183.02,False,0,0,0,13727.270728823449,13.727270728823449,True,True,0.5259934620859369,0.117181314330958,0,0,0,0,0.0
06073018510,185.10,False,0,0,0,13553.070163876824,13.553070163876825,True,True,1.047766164660012,0.1968532747896084,0,0,0,0,0.0
06073019301,193.01,False,0,0,0,13545.80343220974,13.54580343220974,True,True,-0.2345578507404871,0.0584997641138543,0,0,0,0,0.0
06073018523,185.23,False,0,0,0,13530.358765101091,13.530358765101091,True,True,-0.0887641404133444,0.0414699240402381,0,0,0,0,0.0
06073018202,182.02,False,0,0,0,13514.412388816518,13.514412388816517,True,True,0.3627611114252775,0.146590909090909,0,0,0,0,0.0
06073018512,185.12,False,0,0,0,13443.757738574444,13.443757738574444,True,True,0.9080938659588432,0.1163179916317991,0,0,0,0,0.0
06073019105,191.05,False,0,0,0,13419.983254124449,13.419983254124448,True,True,-0.1312106765155063,0.0849931579747605,0,0,0,0,0.0
06073018509,185.09,False,0,0,0,13309.198092401364,13.309198092401363,True,True,1.5096230720326662,0.2264402899656619,0,0,0,0,0.0
