GEOID,NAME,intersects_study_bbox,area_km2,n_osm_walk_edges,walk_edge_length_m,walk_edge_length_km,walk_edge_density_km_per_km2,disadvantage_z,poverty_rate,n_stops_in_bbox
06073000100,1,True,1.5362531166529005,916,59591.272110529215,59.59127211052922,38.7900089279319,-1.2178216588088977,0.0167516387472687,6
06073000201,2.01,True,0.8642099767514034,446,24377.080757886095,24.377080757886095,28.207358643926355,0.6819436773037743,0.0883838383838383,7
06073000202,2.02,True,1.3060014054326219,648,51723.007069536885,51.723007069536884,39.60409755639067,-0.1829616101648927,0.039313262005474,11
06073000301,3.01,True,0.4017902470245324,248,17283.01018872382,17.28301018872382,43.01500675218868,1.0067532395021954,0.1552070767993566,7
06073000302,3.02,True,0.4969699876684419,660,28924.893241956095,28.924893241956095,58.202495039305276,0.3641074775635821,0.0947008547008547,10
06073000400,4,True,1.1774533328576866,1210,52459.35444157047,52.45935444157047,44.55323449146922,1.0206126943008222,0.0747732287325324,12
06073000500,5,True,1.1086525877500817,348,28283.91097282291,28.28391097282291,25.511969471178304,0.3650241607303577,0.0498585572842998,3
06073000600,6,True,0.9328412228990258,984,47160.11507619592,47.16011507619592,50.555350598287944,0.4621890502314649,0.0469302475088396,10
06073000700,7,True,0.7800425932492339,650,39914.09667385487,39.914096673854864,51.16912463407211,0.5413692609555584,0.0720658888126287,8
06073000800,8,True,0.6338798936375271,640,36679.29821940062,36.67929821940062,57.864744705682405,0.2510726454946559,0.072869735553379,4
06073000901,9.01,True,0.350526639525674,322,21146.167298694065,21.146167298694063,60.32684798881094,0.8345135870419281,0.1361680587193115,6
06073000902,9.02,True,0.2711539294600735,308,16621.71986545469,16.62171986545469,61.29994095439499,1.495564112036653,0.1458098459225855,7
06073001000,10,True,0.8491187569443606,938,47543.6829131888,47.5436829131888,55.99179446262563,0.4656011478427325,0.0832972739073994,15
06073001100,11,True,0.9359538674981581,596,34932.34913611612,34.93234913611612,37.32272534915816,-0.033978567454201,0.0377679482817284,8
06073001201,12.01,True,0.3184874343069195,284,16241.509374954094,16.241509374954095,50.99576192165403,1.194874937736952,0.1026200873362445,5
06073001202,12.02,True,0.36732386878581047,454,22317.187598769495,22.317187598769493,60.75615960525241,0.5630022857282193,0.1591368846931894,2
06073001301,13.01,True,0.352167623660459,306,19547.88250693211,19.547882506932112,55.50732433535436,0.1985270682986571,0.0722447475119793,10
06073001302,13.02,True,0.43975953807405993,368,24674.79161127379,24.67479161127379,56.10973606016092,0.3063716184635215,0.0798151001540832,3
06073001400,14,True,0.7463258191578657,858,47081.58954378079,47.081589543780794,63.084497863019685,0.5270302765618714,0.0972762645914396,7
06073001500,15,True,0.7932700557625113,834,49317.46349321695,49.31746349321695,62.16982871717217,-0.1709108001730435,0.0414336553126588,2
06073001600,16,True,0.6881747510973887,750,37926.539745035705,37.926539745035704,55.111786191743676,1.298098315611432,0.2171767028627838,8
06073001700,17,True,0.634350269298553,552,33416.25732791667,33.41625732791667,52.67792723548055,0.2794211549133719,0.0912092447379281,4
06073001801,18.01,True,0.3139468273726647,492,21671.549676762595,21.671549676762595,69.02936353307302,0.2176551820568857,0.0759002770083102,3
06073001802,18.02,True,0.4362499187776945,550,27654.36668219508,27.65436668219508,63.39111021425146,1.0016459679474792,0.1176108374384236,10
06073001900,19,True,1.837906263374531,368,37925.897800212566,37.92589780021257,20.635381986553455,0.2187203433494853,0.1049955130122644,1
06073002001,20.01,True,2.464896813827737,676,65709.36486780432,65.70936486780433,26.658059071350852,-0.8059619033389961,0.0695457094784071,5
06073002002,20.02,True,1.2797840031996783,588,43797.868027558514,43.797868027558515,34.22285941850841,-0.4968949673923244,0.0658796648895658,2
06073002100,21,True,0.8913181201146237,1208,60731.62374213286,60.73162374213286,68.13686648076083,0.5370924274009377,0.1342536669542709,11
06073002201,22.01,True,0.35736827946457206,340,19568.55385500956,19.568553855009558,54.757388888370826,2.224813828631451,0.2950715421303657,4
06073002202,22.02,True,0.4868847814244302,770,32013.644329309947,32.01364432930995,65.75199215644166,2.097811781123848,0.237720207253886,16
06073002301,23.01,True,0.4233255430862018,548,24684.849872335806,24.684849872335807,58.31174205169384,0.6990785390108668,0.0827586206896551,5
06073002302,23.02,True,0.5288254210403166,658,33369.447795767126,33.36944779576713,63.10106600042419,2.0629166979451314,0.1961917715062903,9
06073002401,24.01,True,0.6544031854900265,568,34493.580911133286,34.493580911133286,52.709983196833,0.9562252303650206,0.1933240611961057,6
06073002402,24.02,True,0.5019041065784713,528,29998.762666120547,29.998762666120548,59.76990877923874,1.4255924028780942,0.1793577055140375,11
06073002501,25.01,True,1.2572924120444502,444,40141.74628100174,40.14174628100174,31.927136357824903,1.2513328244038435,0.2564575645756458,5
06073002502,25.02,True,1.8932749524635735,1096,68916.73865227829,68.9167386522783,36.40080832559594,0.5301130086012872,0.1472879399884593,14
06073002601,26.01,True,0.835084462106977,860,45532.34798621505,45.53234798621505,54.52424281890448,1.1555700696199602,0.2470804137470804,7
06073002602,26.02,True,0.7673109901937312,604,39196.600688250124,39.19660068825012,51.08306956264727,1.0520506826945313,0.2062298603651987,4
06073002702,27.02,True,1.3595730926049634,1096,58390.901075227244,58.39090107522724,42.947967558955845,0.5944726197281253,0.1090124123043713,15
06073002703,27.03,True,1.9614226432390558,1388,87275.32454040725,87.27532454040725,44.49592995229343,0.2026298005791746,0.1190341711380965,24
06073002705,27.05,True,1.2273120662679602,582,49651.56983562307,49.65156983562307,40.455537919222735,0.8330772461396633,0.1888141295206055,7
06073002707,27.07,True,0.38355398495924686,332,20896.079081702035,20.896079081702034,54.480151168087254,2.0421601286478626,0.342570281124498,4
06073002708,27.08,True,0.6398266717731896,718,36490.930682836166,36.490930682836165,57.03252504573884,1.9692672232359216,0.2144497807475464,8
06073002709,27.09,True,0.6208230209340367,186,14925.708909021618,14.925708909021617,24.04180967156418,2.1035774959967823,0.3684210526315789,5
06073002710,27.10,True,0.685709786166266,292,25067.176573932546,25.067176573932546,36.556539048510004,1.0640414530123945,0.185666921703647,5
06073002711,27.11,True,1.4524796809788176,620,49957.99789249036,49.95799789249036,34.394971955011414,0.0245623816477954,0.0848356309650053,5
06073002712,27.12,True,2.19450947005001,908,62716.57711230059,62.71657711230059,28.57885917934606,1.5301455398757804,0.274703557312253,21
06073002801,28.01,True,2.8662539798836204,2034,94974.60013363649,94.97460013363649,33.13544466059242,0.6011096034002114,0.1655126200580746,15
06073002803,28.03,True,1.1088038431529548,600,42746.0796890896,42.746079689089605,38.55152554985595,1.099307834929611,0.1553677741501824,12
06073002804,28.04,True,1.471202539045691,670,47889.796386452595,47.889796386452595,32.55146393202716,0.5818017707714785,0.2109727486013355,11
06073002902,29.02,True,1.5705235897858953,1284,73091.68471789728,73.09168471789728,46.539692363272074,0.7042304081272445,0.1552099013212912,11
06073002903,29.03,True,1.4074680932581092,642,52238.41502946553,52.23841502946553,37.115168208566814,0.3484184809388757,0.1187581415544941,8
06073002904,29.04,True,1.8024616479517188,1766,93322.81085287817,93.32281085287818,51.7751991888029,1.7713114206142595,0.3434569914390542,17
06073002905,29.05,True,1.1462615486671208,1480,69906.4650048386,69.9064650048386,60.98648697247693,1.2928127627983137,0.2885122410546139,10
06073003001,30.01,True,2.3787148032818113,616,60910.35747782597,60.91035747782597,25.60641460413436,0.1154296658938609,0.1010258697591436,17
06073003003,30.03,True,3.273234314724569,774,73595.82016253879,73.59582016253879,22.484128261600365,0.4087861801747146,0.1573284612261469,2
06073003004,30.04,True,1.226139523085303,580,40131.63962647549,40.13163962647549,32.73007587708558,0.5834785233451485,0.1224334600760456,12
06073003101,31.01,True,1.0502117083126488,286,35757.408006118254,35.757408006118254,34.04780933509956,0.0543414967071251,0.0856120623562484,15
06073003103,31.03,True,2.03964775134488,604,56551.13648255196,56.55113648255196,27.72593279661349,0.0150916736749134,0.0722686474775611,17
06073003105,31.05,True,1.210504799738629,330,32515.819924977477,32.51581992497748,26.861372158126315,-0.0860322721269244,0.0994704121574948,21
06073003107,31.07,True,1.5721615562608722,498,47936.65116903933,47.93665116903933,30.490919319417003,0.0483904061492389,0.0815903523648012,7
06073003108,31.08,True,1.0839640956644825,392,37477.5931185942,37.4775931185942,34.574570567874765,-0.0703935642223417,0.0711854792966534,3
06073003109,31.09,True,1.093827564236412,192,25880.833997002166,25.880833997002167,23.660798871044424,-0.1424777467047868,0.1123832479662549,5
06073003111,31.11,True,1.4375065057173704,624,42148.31204340659,42.14831204340659,29.320432203799303,1.5591460716880754,0.2466591531154403,14
06073003112,31.12,True,1.5103356730799604,556,46830.42243345224,46.830422433452235,31.006632014426987,-0.1590740827992392,0.0502793296089385,18
06073003113,31.13,True,1.587405318472468,486,44451.394584178575,44.45139458417857,28.002548603625296,-0.1983518103279833,0.0735325280779826,7
06073003114,31.14,True,1.1359170512857364,298,29978.820551023324,29.978820551023325,26.39173390089577,-0.0494474776004681,0.0936243538196438,7
06073003115,31.15,True,1.5329115372194824,384,41901.008426003245,41.901008426003244,27.334263855829963,0.970825555706393,0.1633707464813825,10
06073003201,32.01,True,1.6179512331011834,482,47299.65852879954,47.29965852879954,29.23429183841261,0.1348171193599339,0.1144314868804664,7
06073003202,32.02,True,1.2955344931105985,384,38894.74582772473,38.894745827724726,30.022161536076,-0.1431136844210574,0.0353710897566959,3
06073003204,32.04,True,3.4910336690841706,1190,87108.93449415598,87.10893449415599,24.952189738407174,-0.0227620421152711,0.0865464632454923,11
06073003207,32.07,True,5.594695475545285,1194,119290.78057144443,119.29078057144443,21.322122194652213,-0.2446002424271614,0.0596393897364771,3
06073003208,32.08,True,1.360633090017571,588,41659.80008975049,41.65980008975049,30.617953065666295,0.3393965956934965,0.1049044302859683,11
06073003209,32.09,True,1.3167442652570722,608,45517.113417356006,45.51711341735601,34.567922274922196,-0.0395137860464223,0.0305097593329543,6
06073003211,32.11,True,0.8577367752285043,208,22937.76816732436,22.93776816732436,26.742199739790394,-0.0515193796795565,0.0822229444263893,1
06073003212,32.12,True,1.257733199351012,308,33911.22410366622,33.91122410366622,26.962176176286317,-0.001500597059709,0.0839694656488549,9
06073003213,32.13,True,1.197048221266258,258,33670.38090947255,33.67038090947255,28.127840057984834,-0.3833465828120472,0.0650980392156862,2
06073003214,32.14,True,1.242169112314051,506,30783.11595439293,30.783115954392933,24.78174320165369,-0.0304032589944582,0.0586439938957924,4
06073003301,33.01,True,1.5250275662341026,1060,65943.09614856135,65.94309614856135,43.24059289721627,0.9562297820643292,0.1944278010784901,19
06073003303,33.03,True,0.6227585022541863,318,20222.657192957064,20.222657192957065,32.47271152422251,0.8631952857189115,0.1720836482741244,8
06073003304,33.04,True,0.5889348559208217,330,19961.486899876,19.961486899876,33.894218858324265,1.5026260402528155,0.2139696586599241,8
06073003305,33.05,True,1.2951822606756511,598,39577.12170700014,39.57712170700014,30.557183269599555,1.2713105939310665,0.2637632264990032,20
06073003401,34.01,True,2.8050334539263564,1274,88411.12673586379,88.41112673586379,31.51874235656975,0.5528386952359389,0.1057991025198481,18
06073003403,34.03,True,1.3838361261634582,720,51793.63888387734,51.79363888387734,37.427581130917446,0.72117827971255,0.1687041564792176,8
06073003404,34.04,True,1.6706693025671493,788,51561.60527408792,51.56160527408792,30.862843529152293,0.1223923833474593,0.0574537540805223,28
06073003501,35.01,True,1.188116813879912,594,50637.811864615964,50.63781186461596,42.62022999174064,1.289466933730865,0.2252854358117516,16
06073003502,35.02,True,0.7801238139666937,588,36304.37387974957,36.30437387974957,46.53668203660238,1.4342206096128345,0.2607948442534908,9
06073003601,36.01,True,0.8989267478439189,494,35493.426146212536,35.493426146212535,39.484225195594334,0.6566393435724763,0.1410404624277456,7
06073003602,36.02,True,0.6574018778720038,538,31711.06245556155,31.71106245556155,48.23695143404458,0.8138740331048471,0.1677870395267545,5
06073003603,36.03,True,0.677685439838975,452,30849.384641988567,30.849384641988568,45.52168724374349,1.039540822744861,0.1753778337531486,3
06073003800,38,True,3.1780883744384223,692,41921.30554034125,41.92130554034125,13.190729961292808,-0.4996321377588829,0.0,13
06073003901,39.01,True,0.6415416803037649,370,29237.975003353386,29.237975003353384,45.574552520904696,0.8280625140462075,0.1805523853001597,9
06073003902,39.02,True,1.1720877077630019,644,44354.145176068676,44.35414517606868,37.842001824864425,1.4206989089240425,0.1162790697674418,15
06073004000,40,True,0.8561377209912038,874,51175.48681176131,51.17548681176131,59.774830096859034,1.074798819333862,0.2218742471693567,11
06073004101,41.01,True,1.1347197907964286,698,44454.400552255225,44.45440055225522,39.17654465253832,0.6050802815968904,0.0660581311554167,9
