GEOID,baseline_exceedance,exceedance_prob_scenario_A,exceedance_prob_scenario_B,exceedance_prob_delta_A,exceedance_prob_delta_B,exceedance_delta_A_ci_lower,exceedance_delta_A_ci_upper,exceedance_delta_B_ci_lower,exceedance_delta_B_ci_upper,prob_improve_A,prob_improve_B,targeted_by_A,targeted_by_B,crossed_threshold_A,crossed_threshold_B
06073008307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008310,0.005125,0.005125,0.005125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008311,0.000375,0.000375,0.000375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008327,6.25e-05,0.0,6.25e-05,-6.25e-05,0.0,-0.00015625,0.0,0.0,0.0,0.835,0.0,False,False,False,False
06073008328,1.0,0.97009375,1.0,-0.029906250000000023,0.0,-0.03190781250000002,-0.02821874999999996,0.0,0.0,1.0,0.0,True,False,False,False
06073008330,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008336,0.0038125,0.0038125,0.0038125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008337,0.00896875,0.00896875,0.00896875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008339,6.25e-05,3.125e-05,6.25e-05,-3.125e-05,0.0,-9.375e-05,0.0,0.0,0.0,0.6675,0.0,False,False,False,False
06073008343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008345,0.08640625,0.00609375,0.08640625,-0.08031250000000001,0.0,-0.08334375,-0.07734296875,0.0,0.0,1.0,0.0,False,False,False,False
06073008346,0.00025,0.00015625,0.00025,-9.375e-05,0.0,-0.00018828125,0.0,0.0,0.0,0.9425,0.0,False,False,False,False
06073008347,0.99421875,0.99421875,0.99421875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008348,0.06871875,0.06871875,0.06871875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008349,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008350,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008351,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008352,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008353,0.0166875,0.0166875,0.0166875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008355,0.00034375,0.00034375,0.00034375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008356,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008358,3.125e-05,3.125e-05,3.125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008360,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008365,0.01065625,0.00171875,0.01065625,-0.008937500000000001,0.0,-0.00987578125,-0.00796875,0.0,0.0,1.0,0.0,False,False,False,False
06073008366,0.0485625,0.0485625,0.0485625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008367,0.0275,0.0275,0.0275,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008368,0.06828125,0.06828125,0.06828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008370,6.25e-05,6.25e-05,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008372,1.0,0.98565625,1.0,-0.014343749999999988,0.0,-0.015563281250000033,-0.012999218750000012,0.0,0.0,1.0,0.0,True,False,False,False
06073008373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008374,0.97171875,0.6364375,0.97171875,-0.33528125,0.0,-0.33963984375000006,-0.3300921875000001,0.0,0.0,1.0,0.0,False,False,False,False
06073008375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008377,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008380,0.00315625,0.00315625,0.00315625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008381,0.00190625,0.00190625,0.00190625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008501,0.001375,0.001375,0.001375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008502,0.00015625,0.00015625,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008505,0.00853125,0.00121875,0.00853125,-0.0073125,0.0,-0.0081875,-0.0064687500000000005,0.0,0.0,1.0,0.0,False,False,False,False
06073008506,0.0005625,0.0005625,0.0005625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008507,0.00015625,0.00015625,0.00015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008509,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008510,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008512,0.00025,0.00025,0.00025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008513,9.375e-05,9.375e-05,9.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008800,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073008902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009101,6.25e-05,6.25e-05,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009102,0.00084375,0.00084375,0.00084375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009103,9.375e-05,9.375e-05,9.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009104,0.00028125,0.00028125,0.00028125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009204,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009301,0.00228125,0.00228125,0.00228125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009305,6.25e-05,6.25e-05,6.25e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009306,0.024625,0.024625,0.024625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009400,1.0,0.99590625,1.0,-0.004093750000000007,0.0,-0.004750000000000032,-0.003406250000000055,0.0,0.0,1.0,0.0,True,False,False,False
06073009502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009505,1.0,0.99615625,1.0,-0.0038437500000000346,0.0,-0.004625781249999991,-0.0031875000000000098,0.0,0.0,1.0,0.0,True,False,False,False
06073009506,0.999875,0.998375,0.999875,-0.0014999999999999458,0.0,-0.001969531250000073,-0.001124218749999934,0.0,0.0,1.0,0.0,False,False,False,False
06073009507,1.0,0.9915625,1.0,-0.008437499999999987,0.0,-0.009437499999999988,-0.007499999999999951,0.0,0.0,1.0,0.0,True,False,False,False
06073009509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009510,0.99975,0.99975,0.99975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009511,0.01171875,0.01171875,0.01171875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009704,0.99528125,0.42590625,0.94759375,-0.569375,-0.047687499999999994,-0.5755328125000001,-0.56443515625,-0.05012578124999997,-0.04521796875000009,1.0,1.0,False,False,True,False
06073009705,0.99028125,0.99028125,0.99028125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009706,0.9995625,0.99734375,0.99734375,-0.002218750000000047,-0.002218750000000047,-0.0027812500000000684,-0.0016249999999999876,-0.0027812500000000684,-0.0016249999999999876,1.0,1.0,False,False,False,False
06073009801,9.375e-05,0.0,0.0,-9.375e-05,-9.375e-05,-0.00021875,0.0,-0.00021875,0.0,0.9575,0.9575,False,False,False,False
06073009802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073009804,0.877,0.10084375,0.10084375,-0.77615625,-0.77615625,-0.7806273437499999,-0.77190625,-0.7806273437499999,-0.77190625,1.0,1.0,False,False,True,True
06073009805,1.0,0.99846875,0.99846875,-0.001531249999999984,-0.001531249999999984,-0.0019687499999999636,-0.0011250000000000426,-0.0019687499999999636,-0.0011250000000000426,1.0,1.0,True,True,False,False
06073009901,1.0,0.999375,0.999375,-0.0006249999999999867,-0.0006249999999999867,-0.0009070312499999982,-0.00037421875000001397,-0.0009070312499999982,-0.00037421875000001397,1.0,1.0,True,True,False,False
06073009902,0.37075,0.0309375,0.0309375,-0.3398125,-0.3398125,-0.34441171875,-0.33453046875,-0.34441171875,-0.33453046875,1.0,1.0,False,False,False,False
06073010001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010003,0.9639375,0.46625,0.9639375,-0.4976875,0.0,-0.50285078125,-0.49171250000000005,0.0,0.0,1.0,0.0,False,False,True,False
06073010004,0.68959375,0.68959375,0.68959375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010005,0.00659375,0.00659375,0.00659375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010009,0.845375,0.174,0.845375,-0.671375,0.0,-0.67646875,-0.6655578125,0.0,0.0,1.0,0.0,False,False,True,False
06073010010,3.125e-05,3.125e-05,3.125e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010011,9.375e-05,9.375e-05,9.375e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010012,0.00021875,0.000125,0.00021875,-9.375e-05,0.0,-0.00021875,0.0,0.0,0.0,0.9475,0.0,False,False,False,False
06073010013,0.0003125,0.0003125,0.0003125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010016,0.99903125,0.98846875,0.9600625,-0.01056250000000003,-0.038968749999999996,-0.011656249999999927,-0.00950000000000006,-0.04090703125000003,-0.03706171875,1.0,1.0,False,False,False,False
06073010017,0.998625,0.99778125,0.998625,-0.000843750000000032,0.0,-0.001157031250000079,-0.0005312499999999831,0.0,0.0,1.0,0.0,False,False,False,False
06073010018,0.999625,0.9989375,0.999625,-0.000687499999999952,0.0,-0.0010000000000000009,-0.00043749999999997957,0.0,0.0,1.0,0.0,False,False,False,False
06073010019,1.0,0.9974375,1.0,-0.002562500000000023,0.0,-0.003094531250000007,-0.00203125000000004,0.0,0.0,1.0,0.0,True,False,False,False
06073010103,0.967625,0.32965625,0.32965625,-0.63796875,-0.63796875,-0.6436890625,-0.6324976562500001,-0.6436890625,-0.6324976562500001,1.0,1.0,False,False,True,True
06073010104,0.99996875,0.9995625,0.99996875,-0.0004062499999999414,0.0,-0.0006249999999999867,-0.0001875000000000071,0.0,0.0,1.0,0.0,False,False,False,False
06073010106,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010107,0.00021875,0.00021875,0.00021875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010109,1.0,0.97771875,1.0,-0.02228125000000003,0.0,-0.02387578124999998,-0.020656250000000043,0.0,0.0,1.0,0.0,True,False,False,False
06073010110,0.8479375,0.1770625,0.8479375,-0.670875,0.0,-0.6752812499999999,-0.66577890625,0.0,0.0,1.0,0.0,False,False,True,False
06073010111,0.000125,9.375e-05,0.000125,-3.125e-05,0.0,-0.000125,0.0,0.0,0.0,0.6725,0.0,False,False,False,False
06073010112,0.9021875,0.27534375,0.9021875,-0.62684375,0.0,-0.6316578125000001,-0.62165234375,0.0,0.0,1.0,0.0,False,False,True,False
06073010201,1.0,0.9953125,1.0,-0.004687499999999956,0.0,-0.005407031249999947,-0.003937500000000038,0.0,0.0,1.0,0.0,True,False,False,False
06073010202,0.965375,0.524875,0.965375,-0.4405,0.0,-0.44596875,-0.4354046875,0.0,0.0,1.0,0.0,False,False,False,False
06073010300,0.3590625,0.01709375,0.3590625,-0.34196875,0.0,-0.3465,-0.3365,0.0,0.0,1.0,0.0,False,False,False,False
06073010401,0.048375,0.048375,0.048375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010402,0.09484375,0.004625,0.09484375,-0.09021875,0.0,-0.09344374999999999,-0.08684140625000002,0.0,0.0,1.0,0.0,False,False,False,False
06073010501,0.96778125,0.0165625,0.32428125,-0.95121875,-0.6435,-0.95362890625,-0.9484992187499999,-0.64959765625,-0.63843125,1.0,1.0,False,False,True,True
06073010502,0.70915625,0.02759375,0.02759375,-0.6815625000000001,-0.6815625000000001,-0.6866257812500001,-0.67639921875,-0.6866257812500001,-0.67639921875,1.0,1.0,False,False,True,True
06073010601,1.0,0.99934375,0.99934375,-0.0006562500000000249,-0.0006562500000000249,-0.0010000000000000009,-0.0003750000000000142,-0.0010000000000000009,-0.0003750000000000142,1.0,1.0,True,True,False,False
06073010800,0.00553125,0.00553125,0.00553125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073010900,0.015375,0.015375,0.015375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011000,0.004875,0.004875,0.004875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011100,0.004875,0.004875,0.004875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011300,0.041,0.041,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011601,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011602,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011802,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073011902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012200,0.000125,0.000125,0.000125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012502,0.000125,0.0,0.0,-0.000125,-0.000125,-0.00025,-3.125e-05,-0.00025,-3.125e-05,0.9825,0.9825,False,False,False,False
06073012600,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
06073012700,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False
